id,type,text1,text2,text3,notes
,,,,,
sikr_lehal,SHIP,"A highly specialised frigate built around a small nanoforge supplied by a deconstructor beam. This configuration allows the Lehal to manufacture missiles continuously throughout a battle, provided it can 'access' the materials to power the forge.",,,
sikr_vine,SHIP,"A highly specialized frigate built around a double-barreled autocannon directly connected to the ship's autoforge. The Vine is a sister project to the Lehal, both trying to exploit the advantages of a frigate-sized autoforge.",,,
sikr_himin,SHIP,"The Himin is designed to fit nicely in both small and large fleets, the central mount allows the ship to fill many roles. Often used as a point defense platform.",,,
sikr_dufa,SHIP,A strong frigate capable of tearing apart ships of comparable size with it's heavy frontal firepower. Captains of this ship have a notorious tendancy to engage larger targets and often pay the price of such recklessness.,,,
sikr_pond,SHIP,"A small freighter, designed to supply small patrol fleet, with enough armor not to be a liability.",,,
sikr_shion,SHIP,"Converted from a failed prototype for a phase carrier, the Shion has ample hangar space from the place once used by the phase coil. Its past also grants this ship impressive speed for a carrier.",,,
sikr_nuyre,SHIP,"Designed to be used as a spec-ops ship, the Nyure make use of a in-house modified phase coil. The weapon complement is light and prioritizes alpha strikes.",,,
sikr_bara,SHIP,"A main fleet destroyer, the Bara brings useful firepower to any parts of the fleet but performs poorly when there's no large ship to screen.",,,
sikr_echin,SHIP,A dedicated escort ship using an emp emitter to intercept fighter and missiles. The Echin can also hunt smaller craft by overwhelming them with emp arcs.,,,
sikr_marus,SHIP,"The Marus is a large scavenging platform capable of recovering even the most out of reach valuables. Carrying precious cargo, its fighter escort provides ample support should it find itself in combat. San-Iris uses these salvagers to recover their lost ships after battle.",,,
sikr_hnoss,SHIP,"A light cruiser designed to fill in gaps in San-Iris's doctrine, trade staying power for increased mobility. The numerous light mounts make it very versatile and protected from fighter and missile threat.",,,
sikr_veko,SHIP,"Durable and powerful enough to serve as anchor for small fleets, with enough firepower to fend off bigger targets. Carrying 2 energy bolt launchers as support, the Veko is the main cruiser of San-Iris's force.",,,
sikr_unnr,SHIP,A highly defense-oriented cruiser using a large shield emitter to cover allies from frontal damage and with decent weaponry to apply pressure on the enemy formation.,,,
sikr_maray,SHIP,"A frontline battlecarrier, the Maray was put into service after a long design process aiming at increasing fighter support while following the defensive wall doctrine used by San-Iris.",,,
sikr_leviathan_off,SHIP,"The counterpart to the traditional defensive Leviathan. Equipped with a ramming horn and a mobility system, the 'offense' variant is less durable but poses an incredible threat to all ships facing it directly.",,,
sikr_leviathan_def,SHIP,"The symbol of San-Iris's defence focused doctrine. The Leviathan is the shield of San-Iris territory. Serving as an unbreakable weapons platform, outlasting the strongest ship, and providing cover for smaller allied ships. Forward facing weapons make it vulnerable to flanking attacks by smaller ships and fighters, numerous PD emplacements compensates this weakness.",,,
